customer_id,customer_name,contact_email,contact_phone
1,Customer 1,customer1@example.com,555-8102
2,Customer 2,customer2@example.com,555-6934
3,Customer 3,customer3@example.com,555-8532
4,Customer 4,customer4@example.com,555-3506
5,Customer 5,customer5@example.com,555-8135
6,Customer 6,customer6@example.com,555-3885
7,Customer 7,customer7@example.com,555-9548
8,Customer 8,customer8@example.com,555-5425
9,Customer 9,customer9@example.com,555-9817
10,Customer 10,customer10@example.com,555-8921
11,Customer 11,customer11@example.com,555-8616
12,Customer 12,customer12@example.com,555-8136
13,Customer 13,customer13@example.com,555-5397
14,Customer 14,customer14@example.com,555-6280
15,Customer 15,customer15@example.com,555-5022
16,Customer 16,customer16@example.com,555-2419
17,Customer 17,customer17@example.com,555-5569
18,Customer 18,customer18@example.com,555-8385
19,Customer 19,customer19@example.com,555-4995
20,Customer 20,customer20@example.com,555-8613
21,Customer 21,customer21@example.com,555-7209
22,Customer 22,customer22@example.com,555-6511
23,Customer 23,customer23@example.com,555-1470
24,Customer 24,customer24@example.com,555-9098
25,Customer 25,customer25@example.com,555-6325
26,Customer 26,customer26@example.com,555-3979
27,Customer 27,customer27@example.com,555-8988
28,Customer 28,customer28@example.com,555-4475
29,Customer 29,customer29@example.com,555-6813
30,Customer 30,customer30@example.com,555-5232
31,Customer 31,customer31@example.com,555-6576
32,Customer 32,customer32@example.com,555-5581
33,Customer 33,customer33@example.com,555-5526
34,Customer 34,customer34@example.com,555-1166
35,Customer 35,customer35@example.com,555-9464
36,Customer 36,customer36@example.com,555-4130
37,Customer 37,customer37@example.com,555-2402
38,Customer 38,customer38@example.com,555-4954
39,Customer 39,customer39@example.com,555-7658
40,Customer 40,customer40@example.com,555-9004
41,Customer 41,customer41@example.com,555-4937
42,Customer 42,customer42@example.com,555-8800
43,Customer 43,customer43@example.com,555-9041
44,Customer 44,customer44@example.com,555-8342
45,Customer 45,customer45@example.com,555-1282
46,Customer 46,customer46@example.com,555-2524
47,Customer 47,customer47@example.com,555-5820
48,Customer 48,customer48@example.com,555-4630
49,Customer 49,customer49@example.com,555-7625
50,Customer 50,customer50@example.com,555-4986
